product_1,product_2,count
prod_00534,prod_02895,4
prod_02275,prod_02335,4
prod_04302,prod_04883,4
prod_01080,prod_04333,4
prod_03117,prod_03926,4
prod_01949,prod_03235,4
prod_01011,prod_03312,4
prod_02952,prod_03234,4
prod_01733,prod_02422,4
prod_01944,prod_03108,4
prod_03768,prod_03907,4
prod_02814,prod_03304,4
prod_02523,prod_04443,4
prod_01250,prod_02619,4
prod_01341,prod_01447,4
prod_00928,prod_02900,4
prod_01698,prod_04198,4
prod_02273,prod_03236,3
prod_02999,prod_03509,3
prod_01849,prod_03151,3
prod_00530,prod_01335,3
prod_00789,prod_00838,3
prod_00206,prod_04971,3
prod_00332,prod_00467,3
prod_00503,prod_01689,3
prod_00140,prod_04718,3
prod_01115,prod_02686,3
prod_00315,prod_03485,3
prod_01403,prod_04313,3
prod_02135,prod_02625,3
prod_01314,prod_01721,3
prod_02180,prod_02832,3
prod_00306,prod_01581,3
prod_01085,prod_01715,3
prod_03514,prod_04961,3
prod_03294,prod_04712,3
prod_01111,prod_04248,3
prod_01133,prod_03328,3
prod_00744,prod_01714,3
prod_01345,prod_03223,3
prod_02922,prod_03025,3
prod_02072,prod_02916,3
prod_02051,prod_03890,3
prod_00467,prod_03492,3
prod_00069,prod_04310,3
prod_02436,prod_03914,3
prod_01915,prod_04348,3
prod_00655,prod_01573,3
prod_03534,prod_04814,3
prod_00752,prod_02960,3
prod_00341,prod_04574,3
prod_00146,prod_01635,3
prod_03021,prod_03657,3
prod_00463,prod_03513,3
prod_01417,prod_01949,3
prod_04218,prod_04265,3
prod_03221,prod_03255,3
prod_03557,prod_04740,3
prod_01168,prod_03280,3
prod_01677,prod_04421,3
prod_00374,prod_04354,3
prod_04018,prod_04330,3
prod_00185,prod_00272,3
prod_04380,prod_04958,3
prod_00001,prod_04184,3
prod_02279,prod_02954,3
prod_01854,prod_03046,3
prod_01226,prod_04846,3
prod_00484,prod_01224,3
prod_00541,prod_01341,3
prod_02043,prod_03975,3
prod_00316,prod_03975,3
prod_02835,prod_03122,3
prod_02425,prod_04622,3
prod_00409,prod_02823,3
prod_01169,prod_01324,3
prod_02581,prod_03983,3
prod_02767,prod_04210,3
prod_01110,prod_01564,3
prod_00152,prod_03047,3
prod_00237,prod_00530,3
prod_02293,prod_02638,3
prod_02221,prod_04672,3
prod_01594,prod_04903,3
prod_00809,prod_03587,3
prod_02271,prod_03917,3
prod_01479,prod_04231,3
prod_02832,prod_04003,3
prod_00955,prod_03718,3
prod_00921,prod_02547,3
prod_01631,prod_03157,3
prod_01715,prod_02857,3
prod_02271,prod_02985,3
prod_01811,prod_04211,3
prod_00839,prod_02717,3
prod_02973,prod_03312,3
prod_02089,prod_02602,3
prod_00376,prod_02931,3
prod_00633,prod_02518,3
prod_03657,prod_04299,3
